dataset	version	Common name	Scientific name	Class	species	common	file_species
apolyacanthus_gene_ensembl	ASM210954v1	Spiny chromis	Acanthochromis polyacanthus	Fish	Acanthochromis_polyacanthus	Spiny_chromis	Acanthochromis_polyacanthus
amelanoleuca_gene_ensembl	ASM200744v2	Giant panda	Ailuropoda melanoleuca	Mammal	Ailuropoda_melanoleuca	Giant_panda	Ailuropoda_melanoleuca
acitrinellus_gene_ensembl	Midas_v5	Midas cichlid	Amphilophus citrinellus	Fish	Amphilophus_citrinellus	Midas_cichlid	Amphilophus_citrinellus
aocellaris_gene_ensembl	AmpOce1.0	Clown anemonefish	Amphiprion ocellaris	Fish	Amphiprion_ocellaris	Clown_anemonefish	Amphiprion_ocellaris
apercula_gene_ensembl	Nemo_v1	Orange clownfish	Amphiprion percula	Fish	Amphiprion_percula	Orange_clownfish	Amphiprion_percula
atestudineus_gene_ensembl	fAnaTes1.2	Climbing perch	Anabas testudineus	Fish	Anabas_testudineus	Climbing_perch	Anabas_testudineus
aplatyrhynchos_gene_ensembl	ASM874695v1	Mallard	Anas platyrhynchos	Bird	Anas_platyrhynchos	Mallard	Anas_platyrhynchos
acarolinensis_gene_ensembl	AnoCar2.0v2	Green anole	Anolis carolinensis	Lizard	Anolis_carolinensis	Green_anole	Anolis_carolinensis
abrachyrhynchus_gene_ensembl	ASM259213v1	Pink-footed goose	Anser brachyrhynchus	Bird	Anser_brachyrhynchus	Pink_footed_goose	Anser_brachyrhynchus
anancymaae_gene_ensembl	Anan_2.0	Mas night monkey	Aotus nancymaae	Mammal	Aotus_nancymaae	Mas_night_monkey	Aotus_nancymaae
acchrysaetos_gene_ensembl	bAquChr1.2	Golden eagle	Aquila chrysaetos chrysaetos	Bird	Aquila_chrysaetos	Golden_eagle	Aquila_chrysaetos_chrysaetos
acalliptera_gene_ensembl	fAstCal1.2	Eastern happy	Astatotilapia calliptera	Fish	Astatotilapia_calliptera	Eastern_happy	Astatotilapia_calliptera
amexicanus_gene_ensembl	Astyanax_mexicanus-2.0	Mexican tetra	Astyanax mexicanus	Fish	Astyanax_mexicanus	Mexican_tetra	Astyanax_mexicanus
bmusculus_gene_ensembl	mBalMus1.v2	Blue whale	Balaenoptera musculus	Mammal	Balaenoptera_musculus	Blue_whale	Balaenoptera_musculus
bsplendens_gene_ensembl	fBetSpl5.2	Siamese fighting fish	Betta splendens	Fish	Betta_splendens	Siamese_fighting_fish	Betta_splendens
bbbison_gene_ensembl	Bison_UMD1.0	American bison	Bison bison bison	Mammal	Bison_bison	American_bison	Bison_bison_bison
bgrunniens_gene_ensembl	LU_Bosgru_v3.0	Domestic yak	Bos grunniens	Mammal	Bos_grunniens	Domestic_yak	Bos_grunniens
bmutus_gene_ensembl	BosGru_v2.0	Wild yak	Bos mutus	Mammal	Bos_mutus	Wild_yak	Bos_mutus
btaurus_gene_ensembl	ARS-UCD1.2	Cow	Bos taurus	Mammal	Bos_taurus	Cow	Bos_taurus
cjacchus_gene_ensembl	mCalJac1.pat.X	White-tufted-ear marmoset	Callithrix jacchus	Mammal	Callithrix_jacchus	White_tufted_ear_marmoset	Callithrix_jacchus
cmilii_gene_ensembl	Callorhinchus_milii-6.1.3	Elephant shark	Callorhinchus milii	Cartilaginous Fish	Callorhinchus_milii	Elephant_shark	Callorhinchus_milii
cdromedarius_gene_ensembl	CamDro2	Arabian camel	Camelus dromedarius	Mammal	Camelus_dromedarius	Arabian_camel	Camelus_dromedarius
clfamiliaris_gene_ensembl	ROS_Cfam_1.0	Dog	Canis lupus familiaris	Bird	Canis_lupus	Dog	Canis_lupus_familiaris
chircus_gene_ensembl	ARS1	Goat	Capra hircus	Mammal	Capra_hircus	Goat	Capra_hircus
cauratus_gene_ensembl	ASM336829v1	Goldfish	Carassius auratus	Fish	Carassius_auratus	Goldfish	Carassius_auratus
csyrichta_gene_ensembl	Tarsius_syrichta-2.0.1	Tarsier	Carlito syrichta	Mammal	Carlito_syrichta	Tarsier	Carlito_syrichta
cwagneri_gene_ensembl	CatWag_v2_BIUU_UCD	Chacoan peccary	Catagonus wagneri	Mammal	Catagonus_wagneri	Chacoan_peccary	Catagonus_wagneri
cporcellus_gene_ensembl	Cavpor3.0	Guinea Pig	Cavia porcellus	Mammal	Cavia_porcellus	Guinea_Pig	Cavia_porcellus
ccapucinus_gene_ensembl	Cebus_imitator-1.0	Capuchin	Cebus capucinus imitator	Mammal	Cebus_capucinus	Capuchin	Cebus_capucinus
catys_gene_ensembl	Caty_1.0	Sooty mangabey	Cercocebus atys	Mammal	Cercocebus_atys	Sooty_mangabey	Cercocebus_atys
chyarkandensis_gene_ensembl	CEY_v1	Yarkand deer	Cervus hanglu yarkandensis	Mammal	Cervus_hanglu	Yarkand_deer	Cervus_hanglu_yarkandensis
cabingdonii_gene_ensembl	ASM359739v1	Abingdon island giant tortoise	Chelonoidis abingdonii	Reptile	Chelonoidis_abingdonii	Abingdon_island_giant_tortoise	Chelonoidis_abingdonii
clanigera_gene_ensembl	ChiLan1.0	Long-tailed chinchilla	Chinchilla lanigera	Bird	Chinchilla_lanigera	Long_tailed_chinchilla	Chinchilla_lanigera
csabaeus_gene_ensembl	ChlSab1.1	Vervet	Chlorocebus sabaeus	Mammal	Chlorocebus_sabaeus	Vervet	Chlorocebus_sabaeus
choffmanni_gene_ensembl	choHof1	Sloth	Choloepus hoffmanni	Mammal	Choloepus_hoffmanni	Sloth	Choloepus_hoffmanni
cpbellii_gene_ensembl	Chrysemys_picta_bellii-3.0.3	Painted turtle	Chrysemys picta bellii	Reptile	Chrysemys	Painted_turtle	Chrysemys_picta_bellii
charengus_gene_ensembl	Ch_v2.0.2	Atlantic herring	Clupea harengus	Fish	Clupea_harengus	Atlantic_herring	Clupea_harengus
cgobio_gene_ensembl	fCotGob3.1	Channel bull blenny	Cottoperca gobio	Fish	Cottoperca	Channel_bull_blenny	Cottoperca_gobio
cjaponica_gene_ensembl	Coturnix_japonica_2.0	Japanese quail	Coturnix japonica	Bird	Coturnix_japonica	Japanese_quail	Coturnix_japonica
cgchok1gshd_gene_ensembl	CHOK1GS_HDv1	Chinese hamster	Cricetulus griseus	Mammal	Cricetulus_griseus	Chinese_hamster	Cricetulus_griseus_chok1gshd
cporosus_gene_ensembl	CroPor_comp1	Australian saltwater crocodile	Crocodylus porosus	Reptile	Crocodylus_porosus	Australian_saltwater_crocodile	Crocodylus_porosus
clumpus_gene_ensembl	fCycLum1.pri	Lumpfish	Cyclopterus lumpus	Fish	Cyclopterus_lumpus	Lumpfish	Cyclopterus_lumpus
csemilaevis_gene_ensembl	Cse_v1.0	Tongue sole	Cynoglossus semilaevis	Fish	Cynoglossus_semilaevis	Tongue_sole	Cynoglossus_semilaevis
cvariegatus_gene_ensembl	C_variegatus-1.0	Sheepshead minnow	Cyprinodon variegatus	Fish	Cyprinodon_variegatus	Sheepshead_minnow	Cyprinodon_variegatus
ccarpio_gene_ensembl	common_carp_genome	Carp	Cyprinus carpio	Fish	Cyprinus_carpio	Carp	Cyprinus_carpio
drerio_gene_ensembl	GRCz11	Zebrafish	Danio rerio	Fish	Danio_rerio	Zebrafish	Danio_rerio
dnovemcinctus_gene_ensembl	Dasnov3.0	Armadillo	Dasypus novemcinctus	Mammal	Dasypus_novemcinctus	Armadillo	Dasypus_novemcinctus
dleucas_gene_ensembl	ASM228892v3	Beluga whale	Delphinapterus leucas	Mammal	Delphinapterus_leucas	Beluga_whale	Delphinapterus_leucas
dclupeoides_gene_ensembl	fDenClu1.1	Denticle herring	Denticeps clupeoides	Fish	Denticeps_clupeoides	Denticle_herring	Denticeps_clupeoides
dlabrax_gene_ensembl	seabass_V1.0	European seabass	Dicentrarchus labrax	Fish	Dicentrarchus_labrax	European_seabass	Dicentrarchus_labrax
dordii_gene_ensembl	Dord_2.0	Kangaroo rat	Dipodomys ordii	Mammal	Dipodomys_ordii	Kangaroo_rat	Dipodomys_ordii
etelfairi_gene_ensembl	TENREC	Lesser hedgehog tenrec	Echinops telfairi	Mammal	Echinops_telfairi	Lesser_hedgehog_tenrec	Echinops_telfairi
